Vehicle_Number,Phone_Number,Starting_Location,Destination,Frequent_Places,cycle,ambient_temperature,capacity,voltage_measured,current_measured,temperature_measured,current_load,voltage_load,time
9411,7619353006,23,46,23,1,24,1855004,4188108,130,23819520,5,0,0
9670,8199489367,1,45,35,1,24,1855004,4188195,1459,23828807,5,4203,9422
9240,9951730068,10,8,31,1,24,1855004,3977432,-2005671,23844944,19988,3029,19578
5072,7121085525,22,12,12,1,24,1855004,3961974,-2012205,23925577,19988,3026,29016
1359,7455744867,49,32,15,1,24,1855004,3949835,-2012004,24010627,19988,3015,38485
6140,7653470775,43,33,19,1,24,1855004,3939550,-2007285,24103191,19988,3005,47906
7515,9113586563,12,30,22,1,24,1855004,3930453,-2009340,24191620,19988,2997,57328
5590,9952324186,13,39,39,1,24,1855004,3922180,-2010267,24294343,19990,2987,66750
3265,79656173110,26,26,41,1,24,1855004,3914648,-2010024,24382615,19988,2979,76156
608,8628351188,30,22,47,1,24,1855004,3907584,-2008670,24476314,19988,2974,85594
7710,7179969074,27,3,27,1,24,1855004,3901267,-2010623,24574578,19990,2965,95031
6446,8763438669,18,17,17,1,24,1855004,3895214,-2009617,24667372,19988,2960,104391
8062,9374771511,1,35,45,1,24,1855004,3889690,-2007814,24760582,19988,2956,113766
7139,8878083267,20,13,13,1,24,1855004,3884241,-2011540,24859497,19988,2953,123125
5965,8883783176,16,16,11,1,24,1855004,3879127,-2008096,24962199,19988,2949,132531
1624,9474650844,35,1,1,1,24,1855004,3874532,-2011376,25047866,19988,2945,141938
5547,7800713256,25,14,2,1,24,1855004,3869965,-2009756,25150631,19990,2943,151328
2042,99716810310,33,42,33,1,24,1855004,3865586,-2012294,25245960,19988,2939,160735
1040,7785580683,0,11,23,1,24,1855004,3861323,-2007549,25334606,19990,2937,170125
7326,9639428462,7,7,39,1,24,1855004,3857541,-2008059,25416168,19988,2933,179531
1159,9145649783,47,48,12,1,24,1855004,3853373,-2009811,25518119,19988,2930,188938
5771,72612972710,39,13,20,1,24,1855004,3849750,-2010164,25604064,19988,2927,198344
7923,8750684765,26,41,41,1,24,1855004,3845967,-2008694,25705917,19988,2924,207719
5870,77025933410,39,13,9,1,24,1855004,3842361,-2007646,25786741,19990,2922,217172
3843,75331617210,24,6,37,1,24,1855004,3839135,-2011691,25877056,19988,2919,226578
6828,8601152132,18,15,18,1,24,1855004,3835813,-2007390,25966471,19988,2916,235938
481,8917510796,39,39,9,1,24,1855004,3832241,-2011685,26050683,19988,2913,245360
4515,9120250193,29,34,29,1,24,1855004,3829291,-2008501,26134296,19988,2910,254828
964,9217797378,23,16,46,1,24,1855004,3826212,-2007782,26220917,19988,2907,264188
3269,9124626269,11,0,0,1,24,1855004,3823183,-2006959,26297411,19988,2905,273594
3868,8737847879,15,18,18,1,24,1855004,3820277,-2007970,26389660,19988,2902,283000
6016,9536025764,9,20,9,1,24,1855004,3817240,-2008993,26466868,19988,2900,292406
7938,8006256585,32,49,17,1,24,1855004,3814633,-2006583,26557047,19988,2897,301860
7695,9073060145,8,8,38,1,24,1855004,3811729,-2009970,26635498,19988,2895,311219
772,87884371010,7,9,39,1,24,1855004,3809130,-2011557,26712110,19988,2892,320563
2994,7248716246,2,3,2,1,24,1855004,3806442,-2008789,26796181,19990,2890,329953
2685,9229681686,37,24,6,1,24,1855004,3803726,-2008357,26876443,19990,2887,339328
8799,8465426175,2,25,3,1,24,1855004,3800884,-2010552,26958983,19990,2885,348688
5520,8155428059,5,6,44,1,24,1855004,3798668,-2006846,27034411,19988,2883,358063
439,9817984641,8,36,31,1,24,1855004,3796115,-2007063,27109058,19988,2881,367422
7667,9010348447,38,8,10,1,24,1855004,3793544,-2007579,27186575,19988,2879,376828
5546,9390416812,48,47,22,1,24,1855004,3791214,-2010957,27272408,19988,2876,386235
2778,9079940537,22,47,22,1,24,1855004,3788686,-2011269,27338686,19988,2874,395625
651,9012886872,42,43,33,1,24,1855004,3786469,-2009309,27430480,19990,2872,405047
81,8380287375,29,29,41,1,24,1855004,3784127,-2005830,27506293,19988,2870,414469
9269,8259250101,24,5,37,1,24,1855004,3781509,-2010893,27576816,19988,2868,423860
3787,8149799356,27,2,14,1,24,1855004,3779149,-2008705,27651530,19988,2865,433266
6776,8308662599,43,19,33,1,24,1855004,3776945,-2006782,27722729,19988,2863,442625
4761,8170294867,8,8,38,1,24,1855004,3774414,-2011238,27798987,19990,2861,452125
3770,8808953149,15,49,49,1,24,1855004,3772024,-2010285,27862061,19988,2859,461500
8615,7205818273,13,13,9,1,24,1855004,3769604,-2012800,27938890,19988,2857,470860
8583,9218788297,32,18,49,1,24,1855004,3767357,-2011042,28014325,19988,2855,480219
5379,7526639193,4,45,40,1,24,1855004,3765113,-2008538,28074461,19988,2853,489641
4737,8748660254,19,43,19,1,24,1855004,3762686,-2008875,28132979,19990,2851,499000
8322,8844710486,28,26,29,1,24,1855004,3760322,-2008295,28207304,19988,2848,508391
8496,9258771036,47,47,22,1,24,1855004,3758001,-2008843,28269847,19988,2846,517735
1319,8899131901,42,19,19,1,24,1855004,3755800,-2008770,28327891,19988,2843,527078
9919,7479741115,19,33,42,1,24,1855004,3753272,-2007616,28388499,19988,2842,536422
3327,9017572099,5,24,44,1,24,1855004,3751067,-2008296,28456737,19988,2839,545813
3819,8219357264,44,5,37,1,24,1855004,3748847,-2009536,28515361,19988,2837,555188
851,86508670210,19,43,21,1,24,1855004,3746398,-2008322,28573024,19988,2835,564547
8923,7125318285,9,7,39,1,24,1855004,3744251,-2008192,28637021,19988,2833,573938
1206,7638510151,33,43,19,1,24,1855004,3741884,-2009257,28689762,19988,2831,583313
2650,7458633884,18,49,32,1,24,1855004,3739740,-2010078,28745647,19988,2829,592688
2804,9724551426,39,39,20,1,24,1855004,3737619,-2010304,28789119,19988,2826,602047
2050,8798457814,13,13,7,1,24,1855004,3735312,-2008867,28828343,19988,2824,611469
977,8619050182,13,20,13,1,24,1855004,3733076,-2009684,28879611,19988,2822,620906
6494,8685053572,22,48,22,1,24,1855004,3730963,-2009462,28930782,19990,2819,630281
2447,9478052946,47,48,48,1,24,1855004,3728851,-2009050,28984150,19990,2817,639641
3655,7705088878,15,15,32,1,24,1855004,3726625,-2009272,29027379,19990,2815,649016
6743,8920076989,49,17,32,1,24,1855004,3724446,-2006641,29057046,19990,2813,658406
2327,8204091499,19,43,33,1,24,1855004,3722348,-2010898,29098688,19988,2811,667781
4550,7366530937,47,22,12,1,24,1855004,3720164,-2008184,29146577,19988,2809,677172
4369,9290675636,13,9,20,1,24,1855004,3717991,-2007581,29168631,19988,2807,686516
2593,7868992531,33,42,33,1,24,1855004,3715942,-2009654,29205768,19990,2805,695922
7361,95565622810,1,40,35,1,24,1855004,3714094,-2007427,29247003,19988,2804,705313
9914,7590371822,46,11,23,1,24,1855004,3711732,-2007585,29279514,19990,2801,714735
2887,7522241422,31,8,8,1,24,1855004,3709805,-2010717,29304468,19988,2800,724141
7844,7115085795,47,22,47,1,24,1855004,3707414,-2009845,29337415,19988,2797,733500
5108,8387935396,3,3,25,1,24,1855004,3705499,-2007489,29370830,19988,2795,742891
8693,76799625410,24,24,37,1,24,1855004,3703487,-2009140,29394357,19990,2793,752281
1365,9705141726,45,40,4,1,24,1855004,3701370,-2005761,29417087,19990,2792,761656
964,7697459265,15,49,32,1,24,1855004,3699359,-2010550,29450802,19990,2789,771031
5090,9250221327,10,31,31,1,24,1855004,3697341,-2009158,29481680,19990,2788,780422
1883,8342585345,37,44,37,1,24,1855004,3695216,-2009883,29496156,19988,2786,789844
214,74890483610,16,46,0,1,24,1855004,3693207,-2011206,29522423,19990,2784,799250
4747,7783923094,32,15,15,1,24,1855004,3691392,-2010110,29548340,19990,2781,808656
6128,8782967174,38,36,8,1,24,1855004,3689321,-2007412,29562297,19990,2780,818031
5547,85245378810,10,8,38,1,24,1855004,3686985,-2008381,29581748,19990,2778,827438
7387,7939694932,12,12,47,1,24,1855004,3685117,-2010755,29606403,19988,2776,836781
2702,7623525382,37,24,6,1,24,1855004,3683276,-2008706,29624663,19988,2774,846188
3813,8894769185,11,46,0,1,24,1855004,3681183,-2008257,29657598,19990,2772,855641
6817,8617773078,25,3,27,1,24,1855004,3679167,-2010756,29675464,19990,2770,865031
879,8128549637,19,21,42,1,24,1855004,3677153,-2008600,29694331,19988,2768,874453
9941,9263749165,22,12,47,1,24,1855004,3675192,-2007897,29709190,19990,2766,883828
